name,cipn
.GXore Technologies,B1246
02IC Co Ltd,B0519
3COM,B01FE
3D PLUS,B0801
3Dlabs,B033D
3Leaf Networks,B0689
3ParData,B02DC
3Y Power Technology,B048F
A Force Manufacturing Ltd,B0702
AAI,B075E
AANetcom Incorporated,B02B9
Abacus Peripherals Private Limited,B12DC
Ability Industries Ltd,B0652
ABIT Electronics (Shenzhen) Co Ltd,B1101
Abko Co Ltd,B1302
Acacia Communications,B1134
Acbel Polytech Inc,B0179
Acbel Polytech Inc,B05AB
Accelerant Networks,B02FB
Accelerated Memory Production Inc,B0851
Accord Softwar e & Systems Pvt. Ltd,B0749
Accton Technology,B03EF
Acer,B106B
ACFlow,B1394
Achronix Semiconductor,B0620
Acorn Computers,B015B
Acorn Networks,B0323
ACPI Digital Co Ltd,B07F7
AcSiP Technology Corporation,B0779
ACTEL,B002F
ActiveSemi Inc,B074A
Actrans S ystem Inc,B021F
Adamway,B10D9
Adaptec Inc,B0134
ADATA Technology,B04CB
Addlink,B12F2
Adesto Technologies,B0743
Adhoc Technologies,B0286
Adimos,B045D
ADK Media Group,B08A1
Admor Memory,B01FB
ADMtek Incorporated,B0204
Adobe Systems,B0138
ADTEC Corporation,B0229
ADTechnology,B0540
ADVAN Inc,B10A4
Advance Modules,B0454
Advanced Fibre,B0176
Advanced Hardware Arch.,B0291
Advantage Memory,B01EF
Advantech Co Ltd,B10C8
AENEON,B0557
Aerospace Science Memory Shenzhen,B138A
AEXEA,B0716
Afa Technologies,B04D0
Agate Logic Inc,B06E5
Agate Semiconductor,B0283
Agere Systems,B0310
Agile Memory Technology Co Ltd,B1264
Agilent  Technologies,B02C8
Aica Kogyo Ltd,B01D3
Aigo Data Security Technology Co. Ltd,B1245
Aigo Electronic Technology Co Ltd,B11AE
AIM Corporation,B073D
Air Computers SRL,B07D5
AirDisk,B1275
Airgo Networks,B04F7
AISTOR,B128C
AITC Memory,B100E
Aixi Technology,B0964
AKM Company Ltd,B01D6
Albatron Technology Co Ltd,B0713
Alcatel Mietec,B0104
Alchemy Semiconductor,B02C7
ALi Corp  (Abilis Systems),B0704
Align Manufacturing,B0223
All Bit Semiconductor,B1313
Allayer Technologies,B020B
Allegro Microsystems LLC,B1119
Allegro Networks,B0368
ALLFLASH Technology Limited,B09FE
Alliance Memory Inc,B0052
AlliedSignal,B00FB
Allwinner Technology,B099E
ALPHA Technologies,B0220
Alphamosaic Ltd,B03DF
Altair Semiconductor,B05E5
Altera,B006E
Altium Ltd,B04B9
AltoBeam,B087A
Amazon,B1234
Ambiq Micro,B089B
Ambric Inc,B05B6
AMCC,B0170
AMD,B0001
American Computer & Digit,B01al
AMI,B0002
AMIC Technology,B0137
Amicus Wireless Inc,B06AD
Amimon,B0691
Ampere Computing,B1016
Ample Communications,B032F
AMS (Jiangsu Advanced Memory Semi),B109D
AMS(Austria Micro),B0073
Anadigm  (Anadyne),B025B
Analog Devices,B00E5
Ancore  Technology  Corporation,B082C
Andes Technology Corporation,B069E
AnHui Conner Storage Co Ltd,B12E0
Annapurna Labs,B07F8
Anpec Electronics,B1110
Antec Hadron,B071F
Antec Memory,B0951
Anucell Technology Holding,B07C8
Anurag,B088A
AnvoSystems Dresden GmbH,B08F8
AOND EVICES Inc,B13B9
AP Memory,B08D3
Apacer Technology,B017A
ApaceW ave Technologies,B05EA
Apex Microelectronics Co Ltd,B1123
APEXINFO,B117C
API NetWorks,B03B5
Aplus Flash Technology,B0226
Apple Computer,B00C8
Approved Memory Corporation,B0816
APW,B02F2
Aquantia,B05F2
Aquarius Production Company LLC,B095B
ARC International,B0458
Ardent Technologies,B0208
Aril Computer Company,B115B
Arkados,B047A
ARM Ltd,B043B
Arm Technology (China) Co Ltd,B1075
Array Microsystems,B00E3
Artery Technology Co Ltd,B093B
Artesyn Technologies,B02A2
Artimi,B053D
Artmem Technology Co Ltd,B10EC
Asgard,B08F1
ASint Technology,B06C1
ASK Technology Group Limited,B09F1
Asparix,B0067
Aspex Technology,B031F
Asrock Inc,B05F8
ASSIA Inc,B0761
Astec International,B037A
Aster Electronics,B0075
Astera Labs Inc,B1046
AstraTek,B1391
Astute Networks,B0331
Astute Networks Inc,B05A2
ASUS,B11DC
ATI Technologies,B038F
Atla Electronics Co Ltd,B06CE
Atmel,B001F
ATO Solutions Co Ltd,B079B
