name,cipn
1 Mebibytes,001M
2 Mebibytes,002M
4 Mebibytes,004M
8 Mebibytes,008M
16 Mebibytes,016M
24 Mebibytes,024M
32 Mebibytes,032M
48 Mebibytes,048M
64 Mebibytes,064M
96 Mebibytes,096M
128 Mebibytes,128M
256 Mebibytes,256M
512 Mebibytes,512M
1 Gibibytes,001G
2 Gibibytes,002G
4 Gibibytes,004G
8 Gibibytes,008G
16 Gibibytes,016G
24 Gibibytes,024G
32 Gibibytes,032G
48 Gibibytes,048G
64 Gibibytes,064G
96 Gibibytes,096G
128 Gibibytes,128G
256 Gibibytes,256G
512 Gibibytes,512G
1 Tebibytes,001T
2 Tebibytes,002T
4 Tebibytes,004T
8 Tebibytes,008T
16 Tebibytes,016T
24 Tebibytes,024T
32 Tebibytes,032T
48 Tebibytes,048T
64 Tebibytes,064T
96 Tebibytes,096T
128 Tebibytes,128T
256 Tebibytes,256T
512 Tebibytes,512T
